Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
North Wales,5,100.00%,0,0.00%,504,78.60%,137,21.40%,37,66.10%,19,33.90%,61,87.10%,9,12.90%,8,72.70%,3,27.30%,432,94.10%,27,5.90%,36,81.80%,8,18.20%,127,85.80%,21,14.20%,137,91.90%,12,8.10%,176,92.10%,15,7.90%,28,90.30%,3,9.70%,341,86.10%,55,13.90%,13,100.00%,
North Yorkshire,2,50.00%,2,50.00%,368,84.20%,69,15.80%,27,90.00%,3,10.00%,54,85.70%,9,14.30%,4,50.00%,4,50.00%,405,95.10%,21,4.90%,28,93.30%,2,6.70%,118,88.70%,15,11.30%,150,96.20%,6,3.80%,250,91.20%,24,8.80%,46,95.80%,2,4.20%,379,91.80%,34,8.20%,16,100.00%,
Nottinghamshire,8,44.40%,10,55.60%,767,75.60%,247,24.40%,47,79.70%,12,20.30%,84,80.00%,21,20.00%,42,89.40%,5,10.60%,751,89.20%,91,10.80%,60,83.30%,12,16.70%,180,84.50%,33,15.50%,344,94.50%,20,5.50%,249,75.50%,81,24.50%,143,76.10%,45,23.90%,506,87.50%,72,12.50%,53,100.00%,
South Wales,5,100.00%,0,0.00%,1141,77.30%,336,22.70%,86,68.30%,40,31.70%,154,84.60%,28,15.40%,31,72.10%,12,27.90%,825,94.10%,52,5.90%,51,87.90%,7,12.10%,187,84.60%,34,15.40%,505,96.00%,21,4.00%,451,85.10%,79,14.90%,46,90.20%,5,9.80%,1943,92.30%,161,7.70%,49,100.00%,
South Yorkshire,4,66.70%,2,33.30%,677,75.40%,221,24.60%,23,69.70%,10,30.30%,143,94.10%,9,5.90%,27,84.40%,5,15.60%,887,93.10%,66,6.90%,59,89.40%,7,10.60%,211,83.70%,41,16.30%,312,95.70%,14,4.30%,302,87.80%,42,12.20%,83,86.50%,13,13.50%,486,86.90%,73,13.10%,48,100.00%,
Staffordshire,4,80.00%,1,20.00%,575,79.90%,145,20.10%,73,82.00%,16,18.00%,84,80.00%,21,20.00%,13,72.20%,5,27.80%,474,92.40%,39,7.60%,28,80.00%,7,20.00%,151,89.90%,17,10.10%,212,94.20%,13,5.80%,143,84.60%,26,15.40%,133,86.90%,20,13.10%,490,78.10%,137,21.90%,54,100.00%,
Suffolk,1,100.00%,0,0.00%,370,79.40%,96,20.60%,21,95.50%,1,4.50%,23,85.20%,4,14.80%,5,100.00%,0,0.00%,244,92.80%,19,7.20%,18,94.70%,1,5.30%,63,82.90%,13,17.10%,121,96.00%,5,4.00%,131,86.80%,20,13.20%,41,87.20%,6,12.80%,257,89.20%,31,10.80%,18,100.00%,
Surrey,1,100.00%,0,0.00%,460,73.50%,166,26.50%,29,69.00%,13,31.00%,32,76.20%,10,23.80%,14,100.00%,0,0.00%,246,91.10%,24,8.90%,22,88.00%,3,12.00%,63,85.10%,11,14.90%,141,91.00%,14,9.00%,127,85.20%,22,14.80%,44,83.00%,9,17.00%,415,88.90%,52,11.10%,35,100.00%,
Sussex,2,100.00%,0,0.00%,758,76.30%,236,23.70%,96,73.80%,34,26.20%,81,85.30%,14,14.70%,19,73.10%,7,26.90%,595,91.80%,53,8.20%,49,81.70%,11,18.30%,131,89.10%,16,10.90%,267,93.00%,20,7.00%,231,80.80%,55,19.20%,76,82.60%,16,17.40%,647,89.60%,75,10.40%,71,100.00%,
Thames Valley,7,87.50%,1,12.50%,1151,76.10%,362,23.90%,136,65.40%,72,34.60%,113,79.00%,30,21.00%,33,63.50%,19,36.50%,935,91.00%,93,9.00%,73,84.90%,13,15.10%,179,84.40%,33,15.60%,460,93.30%,33,6.70%,395,84.00%,75,16.00%,99,72.30%,38,27.70%,811,88.90%,101,11.10%,77,100.00%,
Warwickshire,1,100.00%,0,0.00%,222,79.90%,56,20.10%,26,83.90%,5,16.10%,24,96.00%,1,4.00%,7,87.50%,1,12.50%,208,91.20%,20,8.80%,9,69.20%,4,30.80%,52,91.20%,5,8.80%,58,95.10%,3,4.90%,49,83.10%,10,16.90%,44,84.60%,8,15.40%,193,85.80%,32,14.20%,18,100.00%,
West Mercia,4,80.00%,1,20.00%,660,81.40%,151,18.60%,75,74.30%,26,25.70%,65,90.30%,7,9.70%,12,92.30%,1,7.70%,509,93.40%,36,6.60%,18,75.00%,6,25.00%,126,88.10%,17,11.90%,171,95.50%,8,4.50%,148,89.70%,17,10.30%,78,84.80%,14,15.20%,504,85.30%,87,14.70%,34,100.00%,
West Midlands,8,66.70%,4,33.30%,1842,76.10%,579,23.90%,164,75.60%,53,24.40%,215,83.00%,44,17.00%,129,80.10%,32,19.90%,1846,91.30%,176,8.70%,191,90.10%,21,9.90%,331,81.90%,73,18.10%,609,92.80%,47,7.20%,623,83.80%,120,16.20%,407,88.90%,51,11.10%,1137,81.30%,261,18.70%,200,100.00%,
West Yorkshire,14,63.60%,8,36.40%,1348,74.30%,466,25.70%,149,68.30%,69,31.70%,196,82.00%,43,18.00%,64,81.00%,15,19.00%,1023,91.40%,96,8.60%,85,80.20%,21,19.80%,326,87.90%,45,12.10%,360,89.30%,43,10.70%,502,86.00%,82,14.00%,195,88.60%,25,11.40%,951,85.20%,165,14.80%,115,100.00%,
Wiltshire,1,100.00%,0,0.00%,320,84.00%,61,16.00%,22,68.80%,10,31.30%,26,83.90%,5,16.10%,8,88.90%,1,11.10%,273,92.50%,22,7.50%,15,75.00%,5,25.00%,72,86.70%,11,13.30%,95,96.00%,4,4.00%,112,84.80%,20,15.20%,13,86.70%,2,13.30%,193,90.60%,20,9.40%,16,100.00%,
National,282,82.00%,62,18.00%,"33,325",77.40%,"9,743",22.60%,"2,979",73.90%,"1,054",26.10%,"4,174",85.60%,701,14.40%,"1,230",81.00%,288,19.00%,"24,024",91.00%,"2,373",9.00%,"2,806",83.90%,539,16.10%,"6,094",83.90%,"1,172",16.10%,"12,450",93.40%,882,6.60%,"10,362",83.90%,"1,995",16.10%,"2,050",82.90%,422,17.10%,"22,642",84.40%,"4,200",15.60%,"2,581",100.00%,
Avon and Somerset,8,80.00%,2,20.00%,862,78.90%,231,21.10%,133,74.30%,46,25.70%,85,88.50%,11,11.50%,14,82.40%,3,17.60%,561,92.30%,47,7.70%,58,80.60%,14,19.40%,144,85.20%,25,14.80%,251,95.40%,12,4.60%,228,83.20%,46,16.80%,22,73.30%,8,26.70%,561,83.40%,112,16.60%,142,100.00%,
Bedfordshire,3,100.00%,0,0.00%,208,73.50%,75,26.50%,17,77.30%,5,22.70%,31,79.50%,8,20.50%,14,73.70%,5,26.30%,164,88.60%,21,11.40%,22,88.00%,3,12.00%,36,76.60%,11,23.40%,76,98.70%,1,1.30%,49,80.30%,12,19.70%,13,61.90%,8,38.10%,130,86.10%,21,13.90%,37,100.00%,
Cambridgeshire,5,100.00%,0,0.00%,329,77.40%,96,22.60%,19,82.60%,4,17.40%,44,88.00%,6,12.00%,7,77.80%,2,22.20%,213,92.60%,17,7.40%,25,89.30%,3,10.70%,68,86.10%,11,13.90%,100,93.50%,7,6.50%,84,88.40%,11,11.60%,22,81.50%,5,18.50%,285,89.10%,35,10.90%,29,100.00%,
Cheshire,6,100.00%,0,0.00%,658,83.20%,133,16.80%,62,72.10%,24,27.90%,59,83.10%,12,16.90%,9,100.00%,0,0.00%,508,94.40%,30,5.60%,38,92.70%,3,7.30%,142,89.30%,17,10.70%,222,94.10%,14,5.90%,252,89.70%,29,10.30%,47,90.40%,5,9.60%,500,88.70%,64,11.30%,19,100.00%,
Cleveland,1,100.00%,0,0.00%,384,77.90%,109,22.10%,28,77.80%,8,22.20%,101,82.10%,22,17.90%,18,69.20%,8,30.80%,721,93.20%,53,6.80%,25,86.20%,4,13.80%,126,82.40%,27,17.60%,190,91.30%,18,8.70%,204,80.60%,49,19.40%,17,85.00%,3,15.00%,217,88.90%,27,11.10%,27,100.00%,
Cumbria,1,100.00%,0,0.00%,283,84.50%,52,15.50%,17,89.50%,2,10.50%,27,96.40%,1,3.60%,8,100.00%,0,0.00%,204,96.70%,7,3.30%,17,100.00%,0,0.00%,59,95.20%,3,4.80%,100,96.20%,4,3.80%,160,94.10%,10,5.90%,17,89.50%,2,10.50%,266,92.00%,23,8.00%,4,100.00%,
Derbyshire,5,71.40%,2,28.60%,650,79.50%,168,20.50%,66,83.50%,13,16.50%,50,82.00%,11,18.00%,16,84.20%,3,15.80%,440,88.20%,59,11.80%,41,85.40%,7,14.60%,123,74.50%,42,25.50%,189,93.60%,13,6.40%,138,78.40%,38,21.60%,33,89.20%,4,10.80%,326,91.60%,30,8.40%,33,100.00%,
Devon and Cornwall,9,90.00%,1,10.00%,669,79.50%,173,20.50%,37,84.10%,7,15.90%,93,90.30%,10,9.70%,12,85.70%,2,14.30%,350,93.30%,25,6.70%,49,73.10%,18,26.90%,129,85.40%,22,14.60%,222,96.10%,9,3.90%,204,79.10%,54,20.90%,16,94.10%,1,5.90%,508,89.90%,57,10.10%,35,100.00%,
Dorset,3,60.00%,2,40.00%,416,83.70%,81,16.30%,27,71.10%,11,28.90%,56,87.50%,8,12.50%,4,44.40%,5,55.60%,303,92.70%,24,7.30%,15,93.80%,1,6.30%,77,86.50%,12,13.50%,124,97.60%,3,2.40%,145,85.80%,24,14.20%,9,69.20%,4,30.80%,232,91.00%,23,9.00%,46,100.00%,
Durham,1,100.00%,0,0.00%,409,76.30%,127,23.70%,21,60.00%,14,40.00%,85,84.20%,16,15.80%,11,100.00%,0,0.00%,364,89.70%,42,10.30%,33,80.50%,8,19.50%,107,85.60%,18,14.40%,82,95.30%,4,4.70%,115,81.60%,26,18.40%,23,82.10%,5,17.90%,287,89.70%,33,10.30%,8,100.00%,
Dyfed Powys,3,100.00%,0,0.00%,245,78.50%,67,21.50%,18,64.30%,10,35.70%,26,89.70%,3,10.30%,2,66.70%,1,33.30%,132,88.60%,17,11.40%,16,100.00%,0,0.00%,65,78.30%,18,21.70%,171,92.90%,13,7.10%,90,87.40%,13,12.60%,13,81.30%,3,18.80%,229,81.20%,53,18.80%,13,100.00%,
Essex,6,54.50%,5,45.50%,1010,77.20%,298,22.80%,131,75.30%,43,24.70%,114,89.80%,13,10.20%,28,73.70%,10,26.30%,599,89.80%,68,10.20%,61,82.40%,13,17.60%,134,85.90%,22,14.10%,223,91.40%,21,8.60%,169,88.90%,21,11.10%,45,77.60%,13,22.40%,721,74.60%,246,25.40%,69,100.00%,
Gloucestershire,0,-,0,-,230,78.80%,62,21.20%,9,100.00%,0,0.00%,42,95.50%,2,4.50%,5,100.00%,0,0.00%,225,95.70%,10,4.30%,21,87.50%,3,12.50%,46,86.80%,7,13.20%,76,96.20%,3,3.80%,53,89.80%,6,10.20%,5,83.30%,1,16.70%,181,92.80%,14,7.20%,21,100.00%,
GreaterManchester,7,70.00%,3,30.00%,1960,82.20%,424,17.80%,241,76.50%,74,23.50%,202,91.80%,18,8.20%,91,86.70%,14,13.30%,1000,95.00%,53,5.00%,114,80.90%,27,19.10%,281,87.50%,40,12.50%,445,95.90%,19,4.10%,543,88.00%,74,12.00%,85,87.60%,12,12.40%,1123,84.20%,210,15.80%,105,100.00%,
Gwent,0,-,0,-,348,82.70%,73,17.30%,24,57.10%,18,42.90%,44,97.80%,1,2.20%,11,91.70%,1,8.30%,257,92.40%,21,7.60%,17,81.00%,4,19.00%,80,80.00%,20,20.00%,145,96.00%,6,4.00%,111,86.70%,17,13.30%,11,91.70%,1,8.30%,203,90.60%,21,9.40%,16,100.00%,
Hampshire,9,90.00%,1,10.00%,852,80.80%,202,19.20%,90,73.80%,32,26.20%,123,86.00%,20,14.00%,32,94.10%,2,5.90%,677,91.70%,61,8.30%,60,92.30%,5,7.70%,161,83.90%,31,16.10%,273,94.80%,15,5.20%,301,91.50%,28,8.50%,45,73.80%,16,26.20%,751,89.40%,89,10.60%,53,100.00%,
Hertfordshire,3,100.00%,0,0.00%,435,78.00%,123,22.00%,26,92.90%,2,7.10%,61,81.30%,14,18.70%,9,81.80%,2,18.20%,360,89.10%,44,10.90%,48,82.80%,10,17.20%,68,81.90%,15,18.10%,188,96.40%,7,3.60%,98,78.40%,27,21.60%,18,94.70%,1,5.30%,284,83.50%,56,16.50%,43,100.00%,
Humberside,3,100.00%,0,0.00%,495,87.30%,72,12.70%,89,71.80%,35,28.20%,84,93.30%,6,6.70%,15,100.00%,0,0.00%,519,95.10%,27,4.90%,32,91.40%,3,8.60%,131,89.70%,15,10.30%,185,94.40%,11,5.60%,206,88.80%,26,11.20%,16,76.20%,5,23.80%,333,89.50%,39,10.50%,40,100.00%,
Kent,10,62.50%,6,37.50%,827,79.30%,216,20.70%,78,78.80%,21,21.20%,123,90.40%,13,9.60%,23,100.00%,0,0.00%,535,83.30%,107,16.70%,106,88.30%,14,11.70%,122,78.70%,33,21.30%,258,92.80%,20,7.20%,182,87.50%,26,12.50%,64,81.00%,15,19.00%,501,86.40%,79,13.60%,102,100.00%,
Lancashire,5,62.50%,3,37.50%,889,78.10%,249,21.90%,41,80.40%,10,19.60%,167,86.10%,27,13.90%,59,85.50%,10,14.50%,699,94.20%,43,5.80%,53,89.80%,6,10.20%,190,86.00%,31,14.00%,317,94.90%,17,5.10%,434,88.90%,54,11.10%,60,90.90%,6,9.10%,703,81.10%,164,18.90%,41,100.00%,
Leicestershire,3,60.00%,2,40.00%,485,80.00%,121,20.00%,43,69.40%,19,30.60%,68,80.00%,17,20.00%,24,85.70%,4,14.30%,380,90.00%,42,10.00%,49,77.80%,14,22.20%,88,77.90%,25,22.10%,153,91.10%,15,8.90%,128,80.00%,32,20.00%,19,70.40%,8,29.60%,354,85.30%,61,14.70%,43,100.00%,
Lincolnshire,3,100.00%,0,0.00%,413,82.90%,85,17.10%,42,84.00%,8,16.00%,55,90.20%,6,9.80%,5,83.30%,1,16.70%,320,89.40%,38,10.60%,12,100.00%,0,0.00%,90,93.80%,6,6.30%,90,90.00%,10,10.00%,141,79.20%,37,20.80%,18,66.70%,9,33.30%,363,79.10%,96,20.90%,22,100.00%,
Merseyside,3,60.00%,2,40.00%,956,80.90%,226,19.10%,79,72.50%,30,27.50%,81,86.20%,13,13.80%,32,74.40%,11,25.60%,595,94.60%,34,5.40%,104,92.90%,8,7.10%,156,83.00%,32,17.00%,504,94.20%,31,5.80%,279,84.80%,50,15.20%,99,77.30%,29,22.70%,596,88.80%,75,11.20%,44,100.00%,
Metropolitan and City,61,81.30%,14,18.70%,5290,69.10%,2369,30.90%,447,67.60%,214,32.40%,657,80.30%,161,19.70%,306,78.70%,83,21.30%,3061,84.80%,550,15.20%,780,80.10%,194,19.90%,835,80.80%,198,19.20%,3178,92.00%,277,8.00%,1544,76.80%,467,23.20%,490,81.10%,114,18.90%,3330,75.10%,1104,24.90%,691,100.00%,
Norfolk,1,100.00%,0,0.00%,616,79.40%,160,20.60%,25,89.30%,3,10.70%,52,89.70%,6,10.30%,14,82.40%,3,17.60%,330,92.40%,27,7.60%,26,89.70%,3,10.30%,118,77.10%,35,22.90%,203,92.70%,16,7.30%,233,89.60%,27,10.40%,44,95.70%,2,4.30%,321,89.90%,36,10.10%,27,100.00%,
Northamptonshire,8,100.00%,0,0.00%,390,73.90%,138,26.10%,28,70.00%,12,30.00%,28,70.00%,12,30.00%,15,93.80%,1,6.30%,264,88.30%,35,11.70%,30,78.90%,8,21.10%,63,71.60%,25,28.40%,117,92.90%,9,7.10%,98,77.20%,29,22.80%,21,84.00%,4,16.00%,327,85.60%,55,14.40%,50,100.00%,
Northumbria,10,100.00%,0,0.00%,1024,74.90%,344,25.10%,121,67.60%,58,32.40%,157,89.20%,19,10.80%,31,86.10%,5,13.90%,1238,90.60%,129,9.40%,92,79.30%,24,20.70%,273,80.30%,67,19.70%,305,90.20%,33,9.80%,552,84.00%,105,16.00%,61,83.60%,12,16.40%,649,82.90%,134,17.10%,41,100.00%,
North Wales,3,100.00%,0,0.00%,522,84.10%,99,15.90%,57,81.40%,13,18.60%,67,87.00%,10,13.00%,7,87.50%,1,12.50%,424,93.20%,31,6.80%,26,89.70%,3,10.30%,107,87.70%,15,12.30%,122,98.40%,2,1.60%,171,87.70%,24,12.30%,21,84.00%,4,16.00%,286,85.60%,48,14.40%,18,100.00%,
North Yorkshire,3,75.00%,1,25.00%,350,83.10%,71,16.90%,21,91.30%,2,8.70%,69,93.20%,5,6.80%,6,85.70%,1,14.30%,327,94.80%,18,5.20%,34,100.00%,0,0.00%,78,83.00%,16,17.00%,132,93.00%,10,7.00%,142,89.30%,17,10.70%,25,83.30%,5,16.70%,317,91.10%,31,8.90%,24,100.00%,
Nottinghamshire,12,92.30%,1,7.70%,873,75.00%,291,25.00%,58,84.10%,11,15.90%,122,77.70%,35,22.30%,37,88.10%,5,11.90%,685,89.80%,78,10.20%,58,92.10%,5,7.90%,182,82.70%,38,17.30%,391,92.90%,30,7.10%,276,84.70%,50,15.30%,59,80.80%,14,19.20%,477,90.90%,48,9.10%,49,100.00%,
South Wales,8,88.90%,1,11.10%,1114,78.40%,307,21.60%,69,69.70%,30,30.30%,132,89.80%,15,10.20%,41,89.10%,5,10.90%,759,92.80%,59,7.20%,71,94.70%,4,5.30%,161,84.30%,30,15.70%,539,95.20%,27,4.80%,345,84.10%,65,15.90%,44,91.70%,4,8.30%,1479,90.20%,160,9.80%,44,100.00%,
South Yorkshire,3,75.00%,1,25.00%,664,76.10%,209,23.90%,21,84.00%,4,16.00%,136,91.30%,13,8.70%,26,72.20%,10,27.80%,799,95.10%,41,4.90%,63,92.60%,5,7.40%,242,83.40%,48,16.60%,284,94.70%,16,5.30%,301,85.80%,50,14.20%,54,93.10%,4,6.90%,530,91.70%,48,8.30%,73,100.00%,
Staffordshire,5,71.40%,2,28.60%,612,77.40%,179,22.60%,47,74.60%,16,25.40%,74,86.00%,12,14.00%,5,55.60%,4,44.40%,450,90.90%,45,9.10%,29,93.50%,2,6.50%,122,83.00%,25,17.00%,249,92.20%,21,7.80%,204,88.30%,27,11.70%,40,81.60%,9,18.40%,524,78.70%,142,21.30%,26,100.00%,
Suffolk,3,100.00%,0,0.00%,443,84.40%,82,15.60%,26,89.70%,3,10.30%,31,83.80%,6,16.20%,8,100.00%,0,0.00%,221,90.60%,23,9.40%,26,86.70%,4,13.30%,73,90.10%,8,9.90%,135,97.10%,4,2.90%,109,87.90%,15,12.10%,22,100.00%,0,0.00%,242,89.30%,29,10.70%,21,100.00%,
Surrey,0,-,0,-,394,76.40%,122,23.60%,38,67.90%,18,32.10%,57,82.60%,12,17.40%,5,83.30%,1,16.70%,197,92.90%,15,7.10%,24,77.40%,7,22.60%,36,76.60%,11,23.40%,148,93.70%,10,6.30%,90,87.40%,13,12.60%,17,89.50%,2,10.50%,356,91.00%,35,9.00%,29,100.00%,
Sussex,2,100.00%,0,0.00%,832,80.50%,202,19.50%,85,67.50%,41,32.50%,80,90.90%,8,9.10%,24,92.30%,2,7.70%,540,93.40%,38,6.60%,76,84.40%,14,15.60%,130,84.40%,24,15.60%,253,93.40%,18,6.60%,194,82.90%,40,17.10%,22,81.50%,5,18.50%,605,89.90%,68,10.10%,69,100.00%,
Thames Valley,25,92.60%,2,7.40%,1121,74.90%,375,25.10%,124,72.10%,48,27.90%,121,82.90%,25,17.10%,36,60.00%,24,40.00%,687,91.00%,68,9.00%,87,87.90%,12,12.10%,137,82.50%,29,17.50%,411,89.90%,46,10.10%,285,83.80%,55,16.20%,72,81.80%,16,18.20%,665,86.60%,103,13.40%,86,100.00%,
Warwickshire,0,0.00%,2,100.00%,212,82.50%,45,17.50%,27,84.40%,5,15.60%,27,84.40%,5,15.60%,15,93.80%,1,6.30%,200,90.10%,22,9.90%,12,70.60%,5,29.40%,30,88.20%,4,11.80%,72,96.00%,3,4.00%,98,84.50%,18,15.50%,22,81.50%,5,18.50%,230,87.80%,32,12.20%,26,100.00%,
West Mercia,7,87.50%,1,12.50%,664,80.30%,163,19.70%,87,73.70%,31,26.30%,72,86.70%,11,13.30%,12,80.00%,3,20.00%,403,93.50%,28,6.50%,43,82.70%,9,17.30%,112,88.20%,15,11.80%,164,93.20%,12,6.80%,192,85.70%,32,14.30%,40,93.00%,3,7.00%,480,83.20%,97,16.80%,22,100.00%,
West Midlands,20,90.90%,2,9.10%,2255,76.90%,676,23.10%,181,74.20%,63,25.80%,219,80.50%,53,19.50%,128,77.10%,38,22.90%,2076,92.30%,172,7.70%,227,84.10%,43,15.90%,372,87.50%,53,12.50%,696,94.20%,43,5.80%,732,81.20%,170,18.80%,178,84.00%,34,16.00%,1156,81.20%,267,18.80%,169,100.00%,
West Yorkshire,10,62.50%,6,37.50%,1577,80.50%,381,19.50%,157,79.30%,41,20.70%,223,87.50%,32,12.50%,64,80.00%,16,20.00%,964,92.80%,75,7.20%,67,77.90%,19,22.10%,328,87.70%,46,12.30%,385,93.00%,29,7.00%,373,85.00%,66,15.00%,87,86.10%,14,13.90%,783,86.80%,119,13.20%,107,100.00%,
Wiltshire,4,100.00%,0,0.00%,359,84.30%,67,15.70%,22,81.50%,5,18.50%,29,90.60%,3,9.40%,1,50.00%,1,50.00%,273,90.40%,29,9.60%,19,65.50%,10,34.50%,72,97.30%,2,2.70%,82,96.50%,3,3.50%,109,87.90%,15,12.10%,14,66.70%,7,33.30%,231,93.50%,16,6.50%,17,100.00%,
National,278,80.60%,67,19.40%,"34,981",77.90%,"9,928",22.10%,"3,098",73.40%,"1,124",26.60%,"4,179",85.40%,717,14.60%,"1,274",79.40%,331,20.60%,"25,346",91.60%,"2,323",8.40%,"3,109",86.60%,483,13.40%,"6,169",84.50%,"1,132",15.50%,"13,154",93.60%,906,6.40%,"10,619",84.10%,"2,014",15.90%,"2,233",85.20%,388,14.80%,"23,117",84.30%,"4,292",15.70%,"2,339",100.00%,
Avon and Somerset,16,88.90%,2,11.10%,949,77.30%,278,22.70%,154,73.70%,55,26.30%,114,82.60%,24,17.40%,24,88.90%,3,11.10%,621,90.50%,65,9.50%,64,75.30%,21,24.70%,174,85.30%,30,14.70%,286,92.30%,24,7.70%,173,77.60%,50,22.40%,34,85.00%,6,15.00%,569,77.00%,170,23.00%,209,100.00%,
Bedfordshire,1,100.00%,0,0.00%,391,78.40%,108,21.60%,27,77.10%,8,22.90%,55,91.70%,5,8.30%,17,56.70%,13,43.30%,308,94.80%,17,5.20%,19,79.20%,5,20.80%,82,89.10%,10,10.90%,101,94.40%,6,5.60%,87,80.60%,21,19.40%,11,78.60%,3,21.40%,288,84.70%,52,15.30%,28,100.00%,
Cambridgeshire,7,77.80%,2,22.20%,425,83.80%,82,16.20%,25,80.60%,6,19.40%,57,86.40%,9,13.60%,15,75.00%,5,25.00%,248,94.30%,15,5.70%,25,89.30%,3,10.70%,52,85.20%,9,14.80%,106,99.10%,1,0.90%,94,90.40%,10,9.60%,13,86.70%,2,13.30%,273,87.50%,39,12.50%,29,100.00%,
Cheshire,3,75.00%,1,25.00%,754,84.30%,140,15.70%,59,70.20%,25,29.80%,88,89.80%,10,10.20%,11,68.80%,5,31.30%,462,95.50%,22,4.50%,43,95.60%,2,4.40%,112,89.60%,13,10.40%,291,96.70%,10,3.30%,332,94.10%,21,5.90%,37,92.50%,3,7.50%,517,92.50%,42,7.50%,19,100.00%,
Cleveland,3,100.00%,0,0.00%,423,78.20%,118,21.80%,25,89.30%,3,10.70%,110,87.30%,16,12.70%,18,85.70%,3,14.30%,777,93.30%,56,6.70%,26,92.90%,2,7.10%,103,79.80%,26,20.20%,198,90.80%,20,9.20%,179,84.80%,32,15.20%,26,96.30%,1,3.70%,254,89.10%,31,10.90%,17,100.00%,
Cumbria,5,83.30%,1,16.70%,305,83.80%,59,16.20%,9,90.00%,1,10.00%,23,95.80%,1,4.20%,9,90.00%,1,10.00%,275,95.50%,13,4.50%,19,86.40%,3,13.60%,63,88.70%,8,11.30%,112,92.60%,9,7.40%,146,93.60%,10,6.40%,5,41.70%,7,58.30%,255,93.10%,19,6.90%,6,100.00%,
Derbyshire,5,71.40%,2,28.60%,662,77.30%,194,22.70%,22,100.00%,0,0.00%,70,81.40%,16,18.60%,30,90.90%,3,9.10%,457,88.90%,57,11.10%,48,82.80%,10,17.20%,149,77.60%,43,22.40%,204,89.90%,23,10.10%,162,78.60%,44,21.40%,45,91.80%,4,8.20%,337,87.80%,47,12.20%,35,100.00%,
Devon and Cornwall,6,100.00%,0,0.00%,733,74.30%,253,25.70%,44,83.00%,9,17.00%,80,86.00%,13,14.00%,13,100.00%,0,0.00%,368,91.50%,34,8.50%,42,76.40%,13,23.60%,115,85.20%,20,14.80%,241,94.90%,13,5.10%,244,85.60%,41,14.40%,26,81.30%,6,18.80%,597,89.50%,70,10.50%,48,100.00%,
Dorset,3,100.00%,0,0.00%,423,82.50%,90,17.50%,35,76.10%,11,23.90%,46,93.90%,3,6.10%,4,80.00%,1,20.00%,280,96.60%,10,3.40%,24,100.00%,0,0.00%,69,93.20%,5,6.80%,125,94.70%,7,5.30%,137,92.60%,11,7.40%,28,87.50%,4,12.50%,257,92.80%,20,7.20%,24,100.00%,
Durham,3,75.00%,1,25.00%,435,80.60%,105,19.40%,19,95.00%,1,5.00%,66,90.40%,7,9.60%,16,80.00%,4,20.00%,363,91.20%,35,8.80%,34,97.10%,1,2.90%,92,86.80%,14,13.20%,74,96.10%,3,3.90%,89,81.70%,20,18.30%,18,85.70%,3,14.30%,280,92.70%,22,7.30%,11,100.00%,
Dyfed Powys,0,0.00%,2,100.00%,247,85.20%,43,14.80%,18,66.70%,9,33.30%,10,71.40%,4,28.60%,2,100.00%,0,0.00%,137,94.50%,8,5.50%,8,100.00%,0,0.00%,47,87.00%,7,13.00%,162,94.20%,10,5.80%,77,84.60%,14,15.40%,15,88.20%,2,11.80%,216,85.00%,38,15.00%,5,100.00%,
Essex,13,92.90%,1,7.10%,940,77.20%,278,22.80%,138,71.10%,56,28.90%,114,83.80%,22,16.20%,34,64.20%,19,35.80%,617,92.60%,49,7.40%,69,88.50%,9,11.50%,153,86.40%,24,13.60%,251,95.80%,11,4.20%,168,81.60%,38,18.40%,43,93.50%,3,6.50%,767,76.20%,239,23.80%,53,100.00%,
